(435.0, 422.5, 186.5)
(435.5, 426.0, 188.5)
(436.0, 429.5, 190.5)
(437.5, 433.0, 193.0)
(440.0, 436.5, 195.5)
(443.5, 440.0, 198.0)
(448.5, 443.5, 200.5)
(455.0, 447.0, 203.0)
(463.0, 449.5, 205.5)
(471.5, 451.0, 208.0)
(479.5, 451.5, 210.5)
(486.5, 454.5, 213.0)
(491.5, 460.0, 215.5)
(494.0, 467.5, 218.0)
(494.5, 477.0, 220.5)
(497.5, 487.5, 223.0)
(503.0, 498.5, 225.5)
(510.0, 508.5, 228.0)
(517.5, 517.0, 230.5)
(524.5, 523.0, 233.0)
(530.5, 526.5, 235.5)
(535.5, 527.5, 238.0)
(538.5, 528.5, 241.0)
(540.0, 531.0, 244.0)
(540.5, 534.5, 247.0)
(541.0, 538.5, 250.0)
(543.0, 542.5, 253.0)
(546.0, 546.5, 256.5)
(550.5, 550.5, 260.0)
(556.5, 554.0, 263.5)
(564.0, 557.0, 267.0)
(572.5, 559.0, 270.5)
(581.0, 559.5, 274.0)
(588.5, 561.5, 277.5)
(594.0, 566.0, 281.0)
(597.5, 573.0, 284.5)
(598.0, 582.0, 288.0)
(600.0, 592.5, 291.5)
(604.5, 603.5, 295.0)
(611.0, 614.0, 298.5)
(618.5, 623.0, 302.0)
(626.0, 630.0, 305.5)
(632.5, 634.5, 309.0)
(638.0, 636.5, 312.5)
(641.5, 637.0, 316.0)
(643.5, 639.0, 319.5)
(644.0, 642.5, 323.0)
(644.5, 646.5, 326.5)
(646.5, 650.5, 330.5)
(650.0, 654.5, 334.5)
(655.0, 658.5, 338.5)
(662.0, 662.5, 342.5)
(670.0, 665.5, 346.5)
(678.5, 667.5, 350.5)
(687.0, 670.0, 354.5)
(694.0, 675.5, 358.5)
(699.0, 683.0, 362.5)
(701.5, 692.5, 366.5)
(702.0, 703.5, 370.5)
(705.0, 714.5, 374.5)
(710.5, 724.5, 378.5)
(717.5, 733.0, 382.5)
(725.0, 739.0, 386.5)
(732.5, 742.5, 390.5)
(739.0, 743.5, 394.5)
(744.0, 745.0, 398.5)
(747.0, 748.0, 402.5)
(748.5, 752.0, 406.5)
